timestamp,add-chain,add-pre-chain,checkpoint,get-roots,tile
1786052280,100.0000,100.0000,100.0000,100.0000,100.0000
1786067280,100.0000,100.0000,100.0000,100.0000,100.0000
1786075080,100.0000,100.0000,100.0000,100.0000,100.0000
1786081680,100.0000,100.0000,100.0000,100.0000,100.0000
1786087680,100.0000,100.0000,100.0000,100.0000,100.0000
1786090680,100.0000,100.0000,100.0000,100.0000,100.0000
1786094280,100.0000,100.0000,100.0000,100.0000,100.0000
1786102080,100.0000,100.0000,100.0000,100.0000,100.0000
1786105680,100.0000,100.0000,100.0000,100.0000,100.0000
1786108680,100.0000,100.0000,100.0000,100.0000,100.0000
1786115880,100.0000,100.0000,100.0000,100.0000,100.0000
1786121880,100.0000,100.0000,100.0000,100.0000,100.0000
1786125480,100.0000,100.0000,100.0000,100.0000,100.0000
1786130280,100.0000,100.0000,100.0000,100.0000,100.0000
1786135080,100.0000,100.0000,100.0000,100.0000,100.0000
1786139880,100.0000,100.0000,100.0000,100.0000,100.0000
1786142880,100.0000,100.0000,100.0000,100.0000,100.0000
1786150080,100.0000,100.0000,100.0000,100.0000,100.0000
1786157280,100.0000,100.0000,100.0000,100.0000,100.0000
1786160880,100.0000,100.0000,100.0000,100.0000,100.0000
1786163880,100.0000,100.0000,100.0000,100.0000,100.0000
1786169880,100.0000,100.0000,100.0000,100.0000,100.0000
1786172880,100.0000,100.0000,100.0000,100.0000,100.0000
1786175880,100.0000,100.0000,100.0000,100.0000,100.0000
1786178880,100.0000,100.0000,100.0000,100.0000,100.0000
