timestamp,add-chain,add-pre-chain,checkpoint
1788203280,100.0000,100.0000,100.0000
1788219480,100.0000,100.0000,100.0000
1788242880,100.0000,100.0000,100.0000
1788264480,100.0000,100.0000,100.0000
1788280080,100.0000,100.0000,100.0000
1788290280,100.0000,100.0000,100.0000
1788300480,100.0000,100.0000,100.0000
1788307680,100.0000,100.0000,100.0000
1788328080,100.0000,100.0000,100.0000
1788346680,100.0000,100.0000,100.0000
1788364680,100.0000,100.0000,100.0000
1788374280,100.0000,100.0000,100.0000
1788385080,100.0000,100.0000,100.0000
1788392280,100.0000,100.0000,100.0000
1788413880,100.0000,100.0000,100.0000
1788433080,100.0000,100.0000,100.0000
1788447480,100.0000,100.0000,100.0000
1788459480,100.0000,100.0000,100.0000
1788471480,100.0000,100.0000,100.0000
1788478680,100.0000,100.0000,100.0000
1788500280,100.0000,100.0000,100.0000
1788519480,100.0000,100.0000,100.0000
1788536280,100.0000,100.0000,99.2857
1788544080,100.0000,100.0000,99.2806
1788555480,100.0000,100.0000,99.2806
1788564480,100.0000,100.0000,99.2857
1788580680,100.0000,100.0000,99.2857
1788596880,100.0000,100.0000,99.2857
1788607080,100.0000,100.0000,99.2857
1788622080,100.0000,100.0000,100.0000
1788628080,100.0000,100.0000,100.0000
1788637680,100.0000,100.0000,100.0000
1788643680,100.0000,100.0000,100.0000
1788653880,100.0000,100.0000,100.0000
1788671880,100.0000,100.0000,100.0000
1788682680,100.0000,100.0000,100.0000
1788698280,100.0000,100.0000,100.0000
1788712680,100.0000,100.0000,100.0000
1788718080,100.0000,100.0000,100.0000
1788727680,100.0000,100.0000,100.0000
1788732480,100.0000,100.0000,100.0000
1788740280,100.0000,100.0000,100.0000
1788760080,100.0000,100.0000,100.0000
1788780480,100.0000,100.0000,100.0000
1788797880,100.0000,100.0000,100.0000
1788814080,100.0000,100.0000,100.0000
1788823080,100.0000,100.0000,100.0000
1788845880,100.0000,100.0000,100.0000
1788863880,100.0000,100.0000,100.0000
1788877080,100.0000,100.0000,100.0000
1788893880,100.0000,100.0000,100.0000
1788904080,100.0000,100.0000,100.0000
1788913080,100.0000,100.0000,100.0000
1788931080,100.0000,100.0000,100.0000
1788948480,100.0000,100.0000,100.0000
1788967680,100.0000,100.0000,100.0000
1788979680,100.0000,100.0000,100.0000
1788990480,100.0000,100.0000,100.0000
1789000080,100.0000,100.0000,100.0000
1789019880,100.0000,100.0000,100.0000
1789036680,100.0000,100.0000,100.0000
1789049280,100.0000,100.0000,100.0000
1789067880,100.0000,100.0000,100.0000
1789072680,100.0000,100.0000,100.0000
