timestamp,add-chain,add-pre-chain,checkpoint,get-roots,tile
1786052280,100.0000,100.0000,100.0000,100.0000,100.0000
1786067280,100.0000,100.0000,100.0000,100.0000,100.0000
1786075080,100.0000,100.0000,100.0000,100.0000,100.0000
1786081680,100.0000,100.0000,100.0000,100.0000,100.0000
1786087680,100.0000,100.0000,100.0000,100.0000,100.0000
1786090680,100.0000,100.0000,100.0000,100.0000,100.0000
1786094280,100.0000,100.0000,100.0000,100.0000,100.0000
1786102080,100.0000,100.0000,100.0000,100.0000,100.0000
1786105680,100.0000,100.0000,100.0000,100.0000,100.0000
1786108680,100.0000,100.0000,100.0000,100.0000,100.0000
1786115880,100.0000,100.0000,100.0000,100.0000,100.0000
1786121880,100.0000,100.0000,100.0000,100.0000,100.0000
1786125480,100.0000,100.0000,100.0000,100.0000,100.0000
1786130280,100.0000,100.0000,100.0000,100.0000,100.0000
1786135080,100.0000,100.0000,100.0000,100.0000,100.0000
1786139880,100.0000,100.0000,100.0000,100.0000,100.0000
1786142880,100.0000,100.0000,100.0000,100.0000,100.0000
1786150080,100.0000,100.0000,100.0000,100.0000,100.0000
1786157280,100.0000,100.0000,100.0000,100.0000,100.0000
1786160880,100.0000,100.0000,100.0000,100.0000,100.0000
1786163880,100.0000,100.0000,100.0000,100.0000,100.0000
1786169880,100.0000,100.0000,100.0000,100.0000,100.0000
1786172880,100.0000,100.0000,100.0000,100.0000,100.0000
1786175880,100.0000,100.0000,100.0000,100.0000,100.0000
1786178880,100.0000,100.0000,100.0000,100.0000,100.0000
1786181880,100.0000,100.0000,100.0000,100.0000,100.0000
1786184880,100.0000,100.0000,100.0000,100.0000,100.0000
1786190880,100.0000,100.0000,100.0000,100.0000,100.0000
1786193880,100.0000,100.0000,100.0000,100.0000,100.0000
1786196880,100.0000,100.0000,100.0000,100.0000,100.0000
1786199880,100.0000,100.0000,100.0000,100.0000,100.0000
1786202880,100.0000,100.0000,100.0000,100.0000,100.0000
1786208880,100.0000,100.0000,100.0000,100.0000,100.0000
1786211880,100.0000,100.0000,100.0000,100.0000,100.0000
1786216080,100.0000,100.0000,100.0000,100.0000,100.0000
1786219080,100.0000,100.0000,100.0000,100.0000,100.0000
1786222680,100.0000,100.0000,100.0000,100.0000,100.0000
1786225680,100.0000,100.0000,100.0000,100.0000,100.0000
1786228680,100.0000,100.0000,100.0000,100.0000,100.0000
1786237680,100.0000,100.0000,100.0000,100.0000,100.0000
1786243680,100.0000,100.0000,100.0000,100.0000,100.0000
1786249680,100.0000,100.0000,100.0000,100.0000,100.0000
1786252680,100.0000,100.0000,100.0000,100.0000,100.0000
1786255680,100.0000,100.0000,100.0000,100.0000,100.0000
1786258680,100.0000,100.0000,100.0000,100.0000,100.0000
1786261680,100.0000,100.0000,100.0000,100.0000,100.0000
1786264680,100.0000,100.0000,100.0000,100.0000,100.0000
1786267680,100.0000,100.0000,100.0000,100.0000,100.0000
1786270680,100.0000,100.0000,100.0000,100.0000,100.0000
1786277280,100.0000,100.0000,100.0000,100.0000,100.0000
1786280280,100.0000,100.0000,100.0000,100.0000,100.0000
1786283280,100.0000,100.0000,100.0000,100.0000,100.0000
1786286280,100.0000,100.0000,100.0000,100.0000,100.0000
1786289280,100.0000,100.0000,100.0000,100.0000,100.0000
1786292880,100.0000,100.0000,100.0000,100.0000,100.0000
1786298880,100.0000,100.0000,100.0000,100.0000,100.0000
1786302480,100.0000,100.0000,100.0000,100.0000,100.0000
1786306680,100.0000,100.0000,100.0000,100.0000,100.0000
1786309680,100.0000,100.0000,100.0000,100.0000,100.0000
1786316880,100.0000,100.0000,100.0000,100.0000,100.0000
1786323480,100.0000,100.0000,100.0000,100.0000,100.0000
1786333680,100.0000,100.0000,100.0000,100.0000,100.0000
1786339680,100.0000,100.0000,100.0000,100.0000,100.0000
1786346880,100.0000,100.0000,100.0000,100.0000,100.0000
1786354080,100.0000,100.0000,100.0000,100.0000,100.0000
1786357080,100.0000,100.0000,100.0000,100.0000,100.0000
1786364880,100.0000,100.0000,100.0000,100.0000,100.0000
1786367880,100.0000,100.0000,100.0000,100.0000,100.0000
1786371480,100.0000,100.0000,100.0000,100.0000,100.0000
1786376880,100.0000,100.0000,100.0000,100.0000,100.0000
1786384080,100.0000,100.0000,100.0000,100.0000,100.0000
1786391880,100.0000,100.0000,100.0000,100.0000,100.0000
1786395480,100.0000,100.0000,100.0000,100.0000,100.0000
1786399080,100.0000,100.0000,100.0000,100.0000,100.0000
1786407480,100.0000,100.0000,100.0000,100.0000,100.0000
1786421280,100.0000,100.0000,100.0000,100.0000,100.0000
1786425480,100.0000,100.0000,100.0000,100.0000,100.0000
1786453080,100.0000,100.0000,100.0000,100.0000,100.0000
1786456680,100.0000,100.0000,100.0000,100.0000,100.0000
1786459680,100.0000,100.0000,100.0000,100.0000,100.0000
1786463280,100.0000,100.0000,100.0000,100.0000,100.0000
1786466880,100.0000,100.0000,100.0000,100.0000,100.0000
1786470480,100.0000,100.0000,100.0000,100.0000,100.0000
1786475280,100.0000,100.0000,100.0000,100.0000,100.0000
1786481280,100.0000,100.0000,100.0000,100.0000,100.0000
1786486080,100.0000,100.0000,100.0000,100.0000,100.0000
1786500480,100.0000,100.0000,100.0000,100.0000,100.0000
1786503480,100.0000,100.0000,100.0000,100.0000,100.0000
1786513080,100.0000,100.0000,100.0000,100.0000,100.0000
1786538280,100.0000,100.0000,100.0000,100.0000,100.0000
1786544880,100.0000,100.0000,100.0000,100.0000,100.0000
1786548480,100.0000,100.0000,100.0000,100.0000,100.0000
1786553880,100.0000,100.0000,100.0000,100.0000,100.0000
1786564080,100.0000,100.0000,100.0000,100.0000,100.0000
1786568280,100.0000,100.0000,100.0000,100.0000,100.0000
1786571880,100.0000,100.0000,100.0000,100.0000,100.0000
1786582080,100.0000,100.0000,100.0000,100.0000,100.0000
1786592280,100.0000,100.0000,100.0000,100.0000,100.0000
1786598880,100.0000,100.0000,100.0000,100.0000,100.0000
1786606080,100.0000,100.0000,100.0000,100.0000,100.0000
1786609680,100.0000,100.0000,100.0000,100.0000,100.0000
1786613280,100.0000,100.0000,100.0000,100.0000,100.0000
1786624080,100.0000,100.0000,100.0000,100.0000,100.0000
1786631280,100.0000,100.0000,100.0000,100.0000,100.0000
1786634880,100.0000,100.0000,100.0000,100.0000,100.0000
1786638480,100.0000,100.0000,100.0000,100.0000,100.0000
1786642080,100.0000,100.0000,100.0000,100.0000,100.0000
1786645680,100.0000,100.0000,100.0000,100.0000,100.0000
1786649880,100.0000,100.0000,100.0000,100.0000,100.0000
1786658280,100.0000,100.0000,100.0000,100.0000,100.0000
1786671480,100.0000,100.0000,100.0000,100.0000,100.0000
1786678080,100.0000,100.0000,100.0000,100.0000,100.0000
1786686480,100.0000,100.0000,100.0000,100.0000,100.0000
1786693080,100.0000,100.0000,100.0000,100.0000,100.0000
1786700280,100.0000,100.0000,100.0000,100.0000,100.0000
1786706880,100.0000,100.0000,100.0000,100.0000,100.0000
1786709880,100.0000,100.0000,100.0000,100.0000,100.0000
1786717080,100.0000,100.0000,100.0000,100.0000,100.0000
1786720080,100.0000,100.0000,100.0000,100.0000,100.0000
1786723680,100.0000,100.0000,100.0000,100.0000,100.0000
1786727280,100.0000,100.0000,100.0000,100.0000,100.0000
1786731480,100.0000,100.0000,100.0000,100.0000,100.0000
1786734480,100.0000,100.0000,100.0000,100.0000,100.0000
1786740480,100.0000,100.0000,100.0000,100.0000,100.0000
1786744080,100.0000,100.0000,100.0000,100.0000,100.0000
1786754880,100.0000,100.0000,100.0000,100.0000,100.0000
1786762080,100.0000,100.0000,100.0000,100.0000,100.0000
1786765680,100.0000,100.0000,100.0000,100.0000,100.0000
1786768680,100.0000,100.0000,100.0000,100.0000,100.0000
1786771680,100.0000,100.0000,100.0000,100.0000,100.0000
1786781280,100.0000,100.0000,100.0000,100.0000,100.0000
1786783680,100.0000,100.0000,100.0000,100.0000,100.0000
