timestamp,add-chain,add-pre-chain,get-entries,get-proof-by-hash,get-roots,get-sth,get-sth-consistency
1779327480,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779331080,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779340680,100.0000,100.0000,99.2857,100.0000,100.0000,100.0000,100.0000
1779343680,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779353880,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779368880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779373680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779377880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779386880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779390480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779398880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779405480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779424080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779437280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779448680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779460680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779468480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779475680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779478680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779488880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779506280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779515880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779521880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779528480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779544680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779554280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779557280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779560280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779572280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779575280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779581280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779596280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2806
1779608280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2806
1779614280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2857
1779620280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2857
1779628080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2806
1779635280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2806
1779638280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2806
1779644280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2806
1779650880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2958
1779653880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2857
1779657480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2857
1779661080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2806
1779670080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2857
1779682080,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,99.2806
1779701280,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,99.2857
1779712680,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,99.2857
1779723480,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,99.2857
1779732480,100.0000,100.0000,98.5507,100.0000,100.0000,100.0000,99.2754
1779739680,100.0000,100.0000,98.5611,100.0000,100.0000,100.0000,99.2857
1779746880,100.0000,100.0000,98.5714,100.0000,100.0000,100.0000,99.2806
1779750480,100.0000,100.0000,98.5507,100.0000,100.0000,100.0000,99.2754
1779760080,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779769080,100.0000,100.0000,99.2754,100.0000,100.0000,100.0000,100.0000
1779783480,100.0000,100.0000,99.2958,100.0000,100.0000,100.0000,100.0000
1779810480,100.0000,100.0000,99.2754,100.0000,100.0000,100.0000,100.0000
1779818880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779826080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779831480,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779842280,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779855480,100.0000,100.0000,99.2857,100.0000,100.0000,100.0000,100.0000
1779874080,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779889080,100.0000,100.0000,98.5714,100.0000,100.0000,100.0000,100.0000
1779899280,100.0000,100.0000,98.5714,100.0000,100.0000,100.0000,100.0000
1779907680,100.0000,100.0000,98.5611,100.0000,100.0000,100.0000,100.0000
1779911880,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1779921480,100.0000,100.0000,99.2857,100.0000,100.0000,100.0000,100.0000
1779941280,100.0000,90.9091,99.2857,100.0000,100.0000,100.0000,99.2806
1779956280,100.0000,90.9091,99.2806,100.0000,100.0000,100.0000,99.2857
1779967680,100.0000,90.9091,100.0000,100.0000,100.0000,100.0000,99.2806
1779985080,100.0000,90.9091,100.0000,100.0000,100.0000,100.0000,99.2806
