timestamp,checkpoint
1788203280,100.0000
1788219480,100.0000
1788242880,100.0000
1788264480,100.0000
1788280080,100.0000
1788290280,100.0000
1788300480,100.0000
1788307680,100.0000
1788328080,100.0000
1788346680,100.0000
1788364680,100.0000
1788374280,100.0000
1788385080,100.0000
1788392280,100.0000
1788413880,100.0000
1788433080,100.0000
1788447480,100.0000
1788459480,100.0000
1788471480,100.0000
1788478680,100.0000
1788500280,100.0000
1788519480,100.0000
1788536280,100.0000
1788544080,100.0000
1788555480,100.0000
1788564480,100.0000
1788580680,100.0000
1788596880,100.0000
1788607080,100.0000
1788622080,100.0000
