timestamp,add-chain,add-pre-chain,get-entries,get-proof-by-hash,get-roots,get-sth,get-sth-consistency
1779327480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779331080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779340680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779343680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779353880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779368880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779373680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779377880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779386880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779390480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779398880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779405480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779424080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779437280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779448680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779460680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2857
1779468480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,98.5611
1779475680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,97.8417
1779478680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,97.8571
1779488880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,97.1429
1779506280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,94.2446
1779515880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,93.5714
1779521880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,92.8571
1779528480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,92.8058
1779544680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,93.5252
1779554280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,92.1429
1779557280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,92.8571
1779560280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,92.8058
1779572280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,93.5252
1779575280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,94.2857
1779581280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,95.0355
1779596280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,96.4286
1779608280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,95.7143
1779614280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,93.4783
1779620280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,89.1304
1779628080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,85.6115
1779635280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,87.0504
1779638280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,87.7698
1779644280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,87.7698
1779650880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,88.0282
1779653880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,87.6812
1779657480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,87.6812
1779661080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,87.7698
1779670080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,88.4058
1779682080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,89.2086
1779701280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,94.2446
