timestamp,checkpoint,get-roots
1789067880,100.0000,100.0000
1789072680,100.0000,100.0000
1789087680,100.0000,100.0000
1789102080,100.0000,100.0000
1789124280,100.0000,100.0000
1789136280,100.0000,100.0000
1789145880,100.0000,100.0000
1789163280,100.0000,100.0000
1789172880,100.0000,100.0000
1789192080,100.0000,100.0000
1789203480,100.0000,100.0000
1789218480,100.0000,100.0000
1789228680,100.0000,100.0000
1789237680,100.0000,100.0000
1789243680,100.0000,100.0000
1789249680,100.0000,100.0000
1789258680,100.0000,100.0000
1789276680,100.0000,100.0000
1789300680,100.0000,100.0000
1789312680,100.0000,100.0000
1789323480,100.0000,100.0000
1789333680,100.0000,100.0000
1789339680,100.0000,100.0000
1789360080,100.0000,100.0000
1789379880,100.0000,100.0000
1789392480,100.0000,100.0000
1789414680,100.0000,100.0000
1789426680,100.0000,100.0000
1789444680,100.0000,100.0000
1789465080,100.0000,100.0000
1789481880,100.0000,100.0000
1789495080,100.0000,100.0000
1789504680,100.0000,100.0000
1789516080,100.0000,100.0000
1789537080,100.0000,100.0000
1789555680,100.0000,100.0000
