timestamp,add-chain,add-pre-chain,checkpoint,get-roots
1789067880,100.0000,100.0000,100.0000,100.0000
1789072680,100.0000,100.0000,100.0000,100.0000
1789087680,100.0000,100.0000,100.0000,100.0000
1789102080,100.0000,100.0000,100.0000,100.0000
1789124280,100.0000,100.0000,100.0000,100.0000
1789136280,100.0000,100.0000,100.0000,100.0000
1789145880,100.0000,100.0000,100.0000,100.0000
1789163280,100.0000,100.0000,100.0000,100.0000
1789172880,100.0000,100.0000,100.0000,100.0000
1789192080,100.0000,100.0000,100.0000,100.0000
1789203480,100.0000,100.0000,100.0000,100.0000
1789218480,100.0000,100.0000,100.0000,100.0000
1789228680,100.0000,100.0000,100.0000,100.0000
1789237680,100.0000,100.0000,100.0000,100.0000
1789243680,100.0000,100.0000,100.0000,100.0000
1789249680,100.0000,100.0000,100.0000,100.0000
1789258680,100.0000,100.0000,100.0000,100.0000
1789276680,100.0000,100.0000,100.0000,100.0000
