timestamp,get-entries,get-proof-by-hash,get-roots,get-sth,get-sth-consistency
1779327480,100.0000,100.0000,100.0000,100.0000,100.0000
1779331080,100.0000,100.0000,100.0000,100.0000,100.0000
1779340680,100.0000,100.0000,100.0000,100.0000,100.0000
1779343680,100.0000,100.0000,100.0000,100.0000,100.0000
1779353880,99.2857,100.0000,100.0000,100.0000,100.0000
1779368880,99.2857,100.0000,100.0000,100.0000,100.0000
1779373680,99.2857,100.0000,100.0000,100.0000,100.0000
1779377880,99.2806,100.0000,100.0000,100.0000,100.0000
1779386880,99.2857,100.0000,100.0000,100.0000,100.0000
1779390480,99.2857,100.0000,100.0000,100.0000,100.0000
1779398880,99.2806,100.0000,100.0000,100.0000,100.0000
1779405480,99.2806,100.0000,100.0000,100.0000,100.0000
1779424080,99.2857,100.0000,100.0000,100.0000,100.0000
1779437280,100.0000,100.0000,100.0000,100.0000,100.0000
1779448680,100.0000,100.0000,100.0000,100.0000,100.0000
1779460680,100.0000,100.0000,100.0000,100.0000,100.0000
1779468480,100.0000,100.0000,100.0000,100.0000,100.0000
1779475680,100.0000,100.0000,100.0000,100.0000,100.0000
1779478680,100.0000,100.0000,100.0000,100.0000,100.0000
1779488880,100.0000,100.0000,100.0000,100.0000,100.0000
1779506280,100.0000,100.0000,100.0000,100.0000,100.0000
1779515880,100.0000,100.0000,100.0000,100.0000,100.0000
1779521880,100.0000,100.0000,100.0000,100.0000,100.0000
1779528480,100.0000,100.0000,100.0000,100.0000,100.0000
1779544680,99.2806,100.0000,100.0000,100.0000,100.0000
1779554280,99.2857,100.0000,100.0000,100.0000,100.0000
1779557280,99.2857,100.0000,100.0000,100.0000,100.0000
1779560280,99.2806,100.0000,100.0000,100.0000,100.0000
1779572280,99.2806,100.0000,100.0000,100.0000,100.0000
1779575280,99.2857,100.0000,100.0000,100.0000,100.0000
1779581280,99.2908,100.0000,100.0000,100.0000,100.0000
