timestamp,add-pre-chain,checkpoint
1787599080,100.0000,100.0000
1787602680,100.0000,100.0000
1787606280,100.0000,100.0000
1787609880,100.0000,100.0000
1787619480,100.0000,100.0000
1787623080,100.0000,100.0000
1787626680,100.0000,100.0000
1787638080,100.0000,100.0000
1787645280,100.0000,100.0000
1787648880,100.0000,100.0000
1787652480,100.0000,100.0000
1787664480,100.0000,100.0000
1787674680,100.0000,100.0000
1787685480,100.0000,100.0000
1787695080,100.0000,100.0000
1787698680,100.0000,100.0000
1787705880,100.0000,100.0000
1787709480,100.0000,100.0000
1787713080,100.0000,100.0000
1787720880,100.0000,100.0000
1787725680,100.0000,100.0000
1787729880,100.0000,100.0000
1787734680,100.0000,100.0000
1787746680,100.0000,100.0000
1787749680,100.0000,100.0000
1787753880,100.0000,100.0000
1787761680,100.0000,100.0000
1787772480,100.0000,100.0000
1787783880,100.0000,100.0000
1787825880,100.0000,100.0000
1787860680,100.0000,100.0000
1787893680,100.0000,100.0000
1787939280,100.0000,100.0000
1787966880,100.0000,100.0000
1787992080,100.0000,100.0000
1788011280,100.0000,100.0000
1788024480,100.0000,100.0000
1788036480,100.0000,100.0000
1788046680,100.0000,100.0000
1788065280,100.0000,100.0000
1788086880,100.0000,100.0000
1788104880,100.0000,100.0000
1788115080,100.0000,100.0000
1788126480,100.0000,100.0000
1788136680,100.0000,100.0000
1788158280,100.0000,100.0000
1788185280,100.0000,100.0000
1788203280,100.0000,100.0000
1788219480,100.0000,100.0000
1788242880,100.0000,100.0000
1788264480,100.0000,100.0000
1788280080,100.0000,100.0000
1788290280,100.0000,100.0000
